id,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,supergenre
1,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,mellow
2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,hip hop
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,barbadian pop
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72,hip hop
43,Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57,barbadian pop
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,52,hip hop
49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,26,58,329,7,39,49,hip hop
51,Hello,Martin Solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0,room
53,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80,soul
56,Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76,soul
73,What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,23,7,69,barbadian pop
86,We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61,barbadian pop
92,Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,29,73,262,2,4,58,barbadian pop
93,S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,5,89,257,5,5,54,barbadian pop
96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,26,58,329,7,39,49,hip hop
109,What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78,band
113,Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76,soul
120,Glad You Came,The Wanted,boy band,2012,127,85,72,-4,11,45,198,3,6,72,band
127,Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,22,44,243,0,9,68,barbadian pop
